k,avg. precision,avg. recall
5,0.6415,0.052705358478395185
20,0.5983243629435581,0.1475795523876044
35,0.5577569534664782,0.200731860651905
50,0.5307057339542832,0.2410203059625507
65,0.5024869270888286,0.260260998230395
80,0.4871661251686183,0.274339124027142
95,0.476904718867505,0.28055592431635956
110,0.470055266210519,0.282269048305974
125,0.46555644797981943,0.28268936869004296
140,0.46317088636586085,0.28319569780396703
155,0.46184964147706326,0.2835803131885824
170,0.4615063499511689,0.2835803131885824
185,0.4612869540847142,0.2835803131885824
