ID,Dataset,KGpip+Graph4Code,KGpip+KGLiDS,Task,new_ID
1,adult,0.8,0.8,binary,-1
78,ailerons,0.81,0.81,binary,-1
2,airlines,0.55,0.59,binary,31
3,albert,0.64,0.66,binary,13
4,Amazon_employee_access,0.55,0.55,binary,-1
79,analcatdata_supreme,0.99,0.99,binary,-1
5,APSFailure,0.74,0.84,binary,12
7,bank-marketing,0.74,0.74,binary,-1
80,bank32nh_833,0.73,0.73,binary,-1
8,blood-transfusion-service-center,0.66,0.62,binary,32
54,breast_cancer_wisconsin,0.96,0.96,binary,-1
9,christine,0.69,0.72,binary,33
81,cpu_act_761,0.88,0.91,binary,48
82,cpu_small_735,0.84,0.9,binary,49
83,delta_ailerons,0.93,0.93,binary,-1
85,eeg-eye-state,0.65,0.65,binary,-1
86,electricity,0.73,0.73,binary,-1
56,fri_c1_1000_25,0.87,0.83,binary,44
11,guillermo,0.58,0.58,binary,-1
12,higgs,0.64,0.64,binary,-1
13,jasmine,0.78,0.78,binary,-1
87,jm1,0.57,0.53,binary,9
14,kc1,0.61,0.67,binary,34
15,KDDCup09_appetency,0.5,0.5,binary,-1
88,kin8nm_807,0.71,0.71,binary,-1
89,mammography,0.76,0.76,binary,-1
17,MiniBooNE,0.83,0.81,binary,35
92,page-blocks,0.89,0.93,binary,50
62,pc4,0.7,0.7,binary,-1
20,phoneme,0.85,0.85,binary,-1
93,pollen_871,0.48,0.48,binary,-1
94,puma32H_752,0.88,0.88,binary,-1
95,puma8NH_816,0.8,0.8,binary,-1
63,quake,0.49,0.49,binary,-1
96,space_ga_737,0.77,0.77,binary,-1
22,sylvine,0.91,0.93,binary,36
66,titanic,0.78,0.78,binary,-1
97,waveform-5000,0.8,0.82,binary,51
98,wind_847,0.81,0.81,binary,-1
99,abalone,0.08,0.1,multi-class,22
67,car_evaluation,0.94,0.92,multi-class,45
24,cnae-9,0.84,0.89,multi-class,37
25,connect-4,0.26,0.55,multi-class,38
26,covertype,0.0,0.0,multi-class,-1
27,dilbert,0.66,0.68,multi-class,39
28,dionis,0.52,0.52,multi-class,-1
29,fabert,0.38,0.67,multi-class,40
30,Fashion-MNIST,0.75,0.75,multi-class,-1
68,glass,0.63,0.66,multi-class,46
31,helena,0.11,0.11,multi-class,-1
32,jannis,0.43,0.43,multi-class,-1
33,jungle_chess_2pcs_raw_endgame_complete,0.72,0.65,multi-class,41
69,kropt,0.52,0.69,multi-class,47
34,mfeat-factors,0.89,0.89,multi-class,-1
70,mnist_784,0.74,0.74,multi-class,-1
100,optdigits,0.86,0.86,multi-class,-1
101,pendigits,0.93,0.93,multi-class,-1
35,robert,0.32,0.47,multi-class,42
102,satimage,0.81,0.81,multi-class,-1
36,segment,0.98,0.98,multi-class,-1
71,sentiment-analysis-on-movie-reviews,0.0,0.0,multi-class,-1
37,shuttle,0.94,0.94,multi-class,-1
38,vehicle,0.71,0.77,multi-class,43
39,volkert,0.35,0.36,multi-class,-1
74,wine_quality_red,0.23,0.24,multi-class,-1
